,Intensity
345.271,0.17111553610503283
345.487,0.10308380743982494
345.704,0.08527166301969363
345.921,0.05045257111597374
346.137,-0.03931821663019693
346.354,-0.1431836433260394
346.571,-0.4268717177242888
346.787,-1.470168599562363
347.004,1.8448733588621442
347.22,1.0334904814004375
347.437,1.8873407002188183
347.653,1.4025393326039386
347.87,-0.19074256017505467
348.086,-0.0
348.303,-4.832761487964988
348.519,2.615682713347921
348.736,2.1929751094091903
348.952,2.2307987417943105
349.169,2.2581699124726473
349.385,2.36206181619256
349.601,2.322600929978118
349.818,2.3099847374179427
350.034,2.292941903719912
350.251,2.309487417943107
350.467,2.3371133479212247
350.683,2.2725785010940918
350.9,2.2772890043763674
351.116,2.2580857768052516
351.332,2.2557749452954043
351.549,2.340932986870897
351.765,2.4243553610503277
351.981,2.472167013129103
352.197,2.5739603938730853
352.414,2.6783510393873087
352.63,2.760501039387308
352.846,2.8370728665207876
353.062,2.8022726477024067
353.278,2.7589190371991243
353.495,2.8641473194748355
353.711,2.908052188183807
353.927,2.931562582056892
354.143,2.9281954595185993
354.359,2.90216340262582
354.575,2.864286597374179
354.792,2.9333453501094087
355.008,2.833637800875273
355.224,2.7483451312910283
355.44,2.7072719912472647
355.656,2.693852844638949
355.872,2.7313326586433258
356.088,2.9290152625820567
356.304,2.9545521881838077
356.52,3.0164041575492337
356.736,3.0964417396061266
356.952,3.152069474835886
357.168,3.190284245076586
357.384,3.2392718271334786
357.6,3.1267721006564546
357.816,3.1699459518599555
358.032,3.2059075492341353
358.248,3.3288116520787745
358.464,3.3462713894967173
358.679,3.4074974288840263
358.895,3.4140795404813997
359.111,3.4738881838074396
359.327,3.41619556892779
359.543,3.4741753282275707
359.759,3.5164661378555797
359.974,3.50770147702407
360.19,3.489988894967177
360.406,3.5207118161925597
360.622,3.511119748358862
360.838,3.520019529540481
361.053,3.5405232494529537
361.269,3.5261153719912466
361.485,3.569862035010941
361.701,3.6137326039387303
361.916,3.579177461706783
362.132,3.582263785557987
362.348,3.625088840262581
362.563,3.6375553610503273
362.779,3.603357330415755
362.995,3.6281240700218818
363.21,3.695542013129103
363.426,3.733937746170678
363.641,3.755872702407002
363.857,3.8011710065645516
364.073,3.7834640590809623
364.288,3.7604249452954046
364.504,3.8510540481400435
364.719,3.8416770240700213
364.935,3.8380559080962797
365.15,3.875031619256017
365.366,3.8764943107221
365.581,3.951514168490153
365.797,3.9989981947483586
366.012,3.9190159190371987
366.228,3.887219365426696
366.443,3.9841452954048138
366.658,3.9953507111597375
366.874,3.9823980306345734
367.089,4.02815443107221
367.305,4.07856351203501
367.52,4.148601148796499
367.735,4.163290481400438
367.951,4.104157056892779
368.166,4.159613785557987
368.381,4.277038621444201
368.597,4.249182549234136
368.812,4.298413074398249
369.027,4.317362253829321
369.243,4.360596936542669
369.458,4.507419420131291
369.673,4.506875656455141
369.888,4.481322045951859
370.104,4.441392614879649
370.319,4.467588566739606
370.534,4.442152461706783
370.749,4.4573583150984675
370.964,4.446669091903719
371.179,4.434661761487965
371.395,4.41387795404814
371.61,4.487017724288839
371.825,4.418794365426695
372.04,4.468421115973741
372.255,4.426399671772428
372.47,4.385830470459518
372.685,4.371758150984682
372.9,4.373309463894967
373.115,4.323451422319475
373.33,4.388616411378556
373.545,4.379587417943107
373.76,4.457682111597374
373.975,4.462823085339168
374.19,4.4633849562363235
374.405,4.51050727571116
374.62,4.625821006564551
374.835,4.7107445842450755
375.05,4.737355743982494
375.265,4.750267669584245
375.48,4.777268708971554
375.695,4.914499234135667
375.91,4.88151761487965
376.125,4.775981291028446
376.339,4.6632881291028445
376.554,4.692216575492341
376.769,4.67713260393873
376.984,4.678601750547045
377.199,4.687520568927789
377.414,4.705197921225382
377.628,4.808219912472647
377.843,4.880397374179431
378.058,4.902416794310721
378.273,4.986868818380744
378.487,5.0356035010940925
378.702,5.056077352297592
378.917,5.0831121991247254
379.131,5.029550547045951
379.346,4.9807055251641135
379.561,4.954641247264769
379.775,4.915408533916849
379.99,4.873151914660831
380.205,4.820062253829321
380.419,4.76944989059081
380.634,4.7263696936542665
380.848,4.807396827133479
381.063,4.831512800875274
381.278,4.888670623632385
381.492,4.873575711159737
381.707,4.947842067833697
381.921,4.980617505470459
382.136,5.109982439824945
382.35,5.072727625820569
382.565,5.046025765864332
382.779,5.067975929978117
382.994,5.11746646608315
383.208,5.060564168490153
383.422,5.153765590809628
383.637,5.134683479212253
383.851,5.209646280087527
384.066,5.278984792122539
384.28,5.301382494529539
384.494,5.339224452954048
384.709,5.403707932166302
384.923,5.402759026258205
385.137,5.374598632385119
385.352,5.356807330415754
385.566,5.400372319474835
385.78,5.379547319474835
385.995,5.362830853391684
386.209,5.326194748358862
386.423,5.360490153172866
386.637,5.407226148796498
386.852,5.375007549234136
387.066,5.3631590809628005
387.28,5.337655525164113
387.494,5.405536378555798
387.708,5.452070350109409
387.923,5.454806455142231
388.137,5.502928391684901
388.351,5.577220951859955
388.565,5.62815760393873
388.779,5.692004704595185
388.993,5.786221280087526
389.207,5.818581728665207
389.421,5.844522647702407
389.635,5.8019527899343535
389.85,5.798679978118161
390.064,5.794290153172866
390.278,5.8213311816192554
390.492,5.8080925054704595
390.706,5.837041903719911
390.92,5.855357986870897
391.134,5.951253118161924
391.348,6.065461652078774
391.561,6.04631192560175
391.775,6.0430916849015315
391.989,5.982720131291027
392.203,6.019209846827133
392.417,6.051764496717723
392.631,6.107192997811816
392.845,6.0392464442013125
393.059,6.131986542669584
393.273,6.121534846827133
393.486,6.096169474835885
393.7,6.039263676148796
393.914,6.0790920131291015
394.128,6.036020951859956
394.342,6.0433703501094085
394.555,5.9542353391684895
394.769,5.975938347921225
394.983,6.055548741794311
395.197,6.1275061269146605
395.41,6.118027571115974
395.624,6.1643795404814
395.838,6.184394584245076
396.051,6.361257494529539
396.265,6.335827024070022
396.479,6.368900437636761
396.692,6.371700929978117
396.906,6.354592286652078
397.12,6.331759026258205
397.333,6.385211269146608
397.547,6.310722975929978
397.76,6.408569693654267
397.974,6.413856728665207
398.187,6.446525656455142
398.401,6.5119730306345724
398.614,6.557574671772429
398.828,6.563776367614879
399.041,6.614356509846826
399.255,6.605025382932166
399.468,6.614124945295405
399.682,6.638752844638949
399.895,6.675491958424507
400.109,6.659623249452953
400.322,6.649348249452953
400.536,6.568965536105032
400.749,6.646208807439825
400.962,6.669017286652078
401.176,6.6485039934354475
401.389,6.6266710065645515
401.602,6.57754409190372
401.816,6.637258479212253
402.029,6.7296611050328226
402.242,6.687160886214441
402.456,6.694861870897155
