,Intensity
345.271,-2.2312226477024066
345.487,-1.1878730853391684
345.704,-1.3336821663019691
345.921,-1.680789387308534
346.137,-1.4428068927789934
346.354,-0.38878884026258204
346.571,2.3798462800875275
346.787,15.009763676148795
347.004,-3.8883758205689274
347.22,-5.069733588621443
347.437,-13.590502735229759
347.653,-20.770355579868706
347.87,11.645216630196936
348.086,-4.372648796498906
348.303,-0.0
348.519,1.4047270240700218
348.736,1.7801493435448579
348.952,2.185339715536105
349.169,2.357397702407002
349.385,2.470640043763676
349.601,2.571701859956236
349.818,2.6166531728665205
350.034,2.5838287746170674
350.251,2.6102926695842448
350.467,2.6138118161925603
350.683,2.57681181619256
350.9,2.543579321663019
351.116,2.523244529540481
351.332,2.4801471553610503
351.549,2.4750869803063456
351.765,2.487370897155361
351.981,2.4238473741794313
352.197,2.4370295404814004
352.414,2.411275711159737
352.63,2.3946159737417942
352.846,2.3884961706783367
353.062,2.3242297592997807
353.278,2.239723194748359
353.495,2.2815623632385122
353.711,2.1466416849015317
353.927,2.1955782275711155
354.143,2.1664037199124726
354.359,2.1904824945295402
354.575,2.1815722100656454
354.792,2.236609956236324
355.008,2.116547592997812
355.224,2.1280979212253825
355.44,2.026714989059081
355.656,2.0207363238512035
355.872,1.9645185995623633
356.088,2.050003282275711
356.304,2.0024343544857763
356.52,1.964913019693654
356.736,2.011799234135667
356.952,2.050693107221006
357.168,2.02562363238512
357.384,2.055169037199125
357.6,1.8970114879649889
357.816,1.8626072210065645
358.032,1.9906274617067832
358.248,1.9492040481400437
358.464,1.9380590809628009
358.679,1.9757828227571115
358.895,1.8747795404814003
359.111,1.9790705689277899
359.327,1.9614124726477022
359.543,1.8480366520787745
359.759,1.8287494529540482
359.974,1.8067319474835883
360.19,1.7221509846827134
360.406,1.6933884026258204
360.622,1.6098315098468272
360.838,1.6171110503282276
361.053,1.626647702407002
361.269,1.6182713347921225
361.485,1.592160284463895
361.701,1.543370897155361
361.916,1.5664206783369803
362.132,1.57408533916849
362.348,1.5190131291028444
362.563,1.5061285557986868
362.779,1.5293309628008753
362.995,1.488733041575492
363.21,1.5076028446389498
363.426,1.4563074398249451
363.641,1.4108479212253828
363.857,1.4492647702407
364.073,1.390340262582057
364.288,1.3584999999999998
364.504,1.3973960612691463
364.719,1.3844513129102844
364.935,1.3382707877461708
365.15,1.327936542669584
365.366,1.2608615973741792
365.581,1.2651827133479212
365.797,1.295969365426696
366.012,1.2437499999999997
366.228,1.2152040481400437
366.443,1.2705246170678335
366.658,1.2622636761487964
366.874,1.2466105032822756
367.089,1.2575164113785557
367.305,1.1932707877461708
367.52,1.1819677242888402
367.735,1.194738512035011
367.951,1.1875016411378554
368.166,1.2181881838074398
368.381,1.237468818380744
368.597,1.2593145514223194
368.812,1.240323851203501
369.027,1.2430300875273523
369.243,1.2180831509846828
369.458,1.1873025164113786
369.673,1.1783752735229758
369.888,1.1861066739606128
370.104,1.1493698030634574
370.319,1.1545175054704595
370.534,1.163625273522976
370.749,1.1938172866520786
370.964,1.21325
371.179,1.1870722100656455
371.395,1.1440049234135665
371.61,1.1461717724288838
371.825,1.152948577680525
372.04,1.108722100656455
372.255,1.0541258205689277
372.47,0.9994671772428884
372.685,1.0003429978118161
372.9,0.9959179431072209
373.115,0.9627002188183807
373.33,0.9410793216630197
373.545,0.968972100656455
373.76,0.9683364332603938
373.975,1.0035366520787745
374.19,0.9930443107221006
374.405,0.9786236323851203
374.62,0.9662877461706784
374.835,0.9571137855579869
375.05,0.9164518599562362
375.265,0.8964463894967175
375.48,0.8456684901531728
375.695,0.7756591903719912
375.91,0.791710612691466
376.125,0.76497647702407
376.339,0.7506564551422319
376.554,0.7891192560175054
376.769,0.7749359956236325
376.984,0.7749715536105032
377.199,0.8091548140043763
377.414,0.7978998905908096
377.628,0.8104824945295405
377.843,0.7965886214442013
378.058,0.7613823851203501
378.273,0.7633008752735229
378.487,0.7930213347921226
378.702,0.8136750547045951
378.917,0.8213960612691465
379.131,0.8199983588621444
379.346,0.8122882932166302
379.561,0.8380300875273523
379.775,0.8491263676148795
379.99,0.8048517505470459
380.205,0.7991526258205689
380.419,0.7786471553610503
380.634,0.7407297592997812
380.848,0.7237292122538294
381.063,0.6947620350109409
381.278,0.6906033916849016
381.492,0.7071225382932167
381.707,0.6751931072210066
381.921,0.6570645514223195
382.136,0.6702746170678338
382.35,0.703620897155361
382.565,0.6920568927789934
382.779,0.6762680525164114
382.994,0.6433807439824946
383.208,0.5988129102844638
383.422,0.606968818380744
383.637,0.614363238512035
383.851,0.6197149890590811
384.066,0.623277352297593
384.28,0.6035722100656454
384.494,0.6084781181619255
384.709,0.6218227571115974
384.923,0.6001367614879649
385.137,0.5713758205689277
385.352,0.5430426695842451
385.566,0.522402625820569
385.78,0.543737964989059
385.995,0.5489009846827133
386.209,0.5699649890590809
386.423,0.5767199124726476
386.637,0.5845218818380743
386.852,0.5995213347921226
387.066,0.5973243982494529
387.28,0.5803610503282275
387.494,0.5836630196936542
387.708,0.5749392778993435
387.923,0.5617095185995623
388.137,0.5677789934354485
388.351,0.5548068927789934
388.565,0.5456132385120349
388.779,0.5337100656455142
388.993,0.5265366520787745
389.207,0.5230147702407002
389.421,0.5106695842450765
389.635,0.48811870897155357
389.85,0.44935940919037204
390.064,0.43140207877461706
390.278,0.44489223194748356
390.492,0.44650437636761486
390.706,0.4587193654266958
390.92,0.469480306345733
391.134,0.4770486870897155
391.348,0.5038944201312909
391.561,0.5148479212253829
391.775,0.48632549234135664
391.989,0.47710448577680525
392.203,0.47077188183807445
392.417,0.46591192560175043
392.631,0.47221936542669585
392.845,0.46783698030634574
393.059,0.47518380743982497
393.273,0.4743101750547046
393.486,0.4491810722100656
393.7,0.4172691466083151
393.914,0.4035120350109409
394.128,0.38813293216630196
394.342,0.3601903719912472
394.555,0.3476356673960613
394.769,0.3449972647702407
394.983,0.34238129102844633
395.197,0.36434846827133477
395.41,0.38610339168490154
395.624,0.3877407002188184
395.838,0.40797155361050325
396.051,0.4009321663019694
396.265,0.40158643326039384
396.479,0.39667013129102846
396.692,0.37294420131291023
396.906,0.3613681619256017
397.12,0.35835886214442014
397.333,0.3502237417943107
397.547,0.3547642231947484
397.76,0.36902352297593
397.974,0.39000437636761487
398.187,0.39625
398.401,0.3862833698030634
398.614,0.3909469365426696
398.828,0.3884442013129103
399.041,0.3978911378555799
399.255,0.38233862144420133
399.468,0.35999234135667396
399.682,0.3508014223194748
399.895,0.35586980306345734
400.109,0.34586050328227574
400.322,0.3382122538293217
400.536,0.3297664113785557
400.749,0.31543052516411374
400.962,0.31984737417943104
401.176,0.3351734135667396
401.389,0.3336280087527352
401.602,0.30802297592997807
401.816,0.31355251641137855
402.029,0.2952882932166302
402.242,0.309480306345733
402.456,0.29317122538293217
402.669,0.2918681619256017
402.882,0.2901832603938731
403.095,0.29104649890590806
403.309,0.28908096280087525
403.522,0.2991881838074398
403.735,0.2996362144420131
403.948,0.3194228665207877
404.161,0.3116531728665207
404.375,0.30635175054704594
404.588,0.3125437636761488
404.801,0.3059091903719912
405.014,0.2963654266958424
405.227,0.2984135667396061
405.44,0.28085886214442013
405.653,0.2732231947483588
405.866,0.2585240700218818
406.079,0.27965754923413566
406.293,0.27781509846827135
406.506,0.28442122538293213
406.719,0.28395733041575494
406.932,0.3007155361050328
407.145,0.30546389496717724
407.358,0.3107571115973742
407.571,0.29743654266958425
407.784,0.2857417943107221
407.996,0.2708495623632385
408.209,0.25537855579868707
408.422,0.23039715536105032
408.635,0.22321389496717722
408.848,0.20985995623632384
409.061,0.18904978118161925
409.274,0.20374234135667396
409.487,0.19791411378555795
409.7,0.19606126914660832
409.912,0.2097948577680525
410.125,0.20245459518599562
410.338,0.22216520787746172
410.551,0.23987089715536103
410.764,0.22570295404814006
410.976,0.24280962800875275
411.189,0.2402062363238512
411.402,0.24196280087527353
411.615,0.23648249452954048
411.827,0.2158315098468271
412.04,0.21838457330415756
412.253,0.2144447483588621
412.465,0.2119338074398249
412.678,0.2227253829321663
412.891,0.2208933260393873
413.103,0.229945295404814
413.316,0.2313714442013129
413.529,0.22249234135667395
413.741,0.237363238512035
413.954,0.2278342450765864
414.166,0.22775875273522977
414.379,0.21628118161925597
414.591,0.21440317286652077
414.804,0.22482111597374177
415.016,0.2221362144420131
415.229,0.19476695842450764
415.441,0.21882986870897153
415.654,0.20414606126914658
415.866,0.21360010940919036
416.079,0.20288949671772427
416.291,0.19713894967177242
416.504,0.19358150984682712
416.716,0.2127035010940919
416.928,0.18702352297592997
417.141,0.18287308533916846
417.353,0.1672921225382932
417.566,0.17300875273522975
417.778,0.17434135667396058
417.99,0.17139660831509845
418.203,0.16989934354485775
418.415,0.18367177242888402
418.627,0.18256619256017506
418.839,0.1890432166301969
419.052,0.19304814004376367
419.264,0.1897954048140044
419.476,0.19760557986870897
419.688,0.2020339168490153
419.901,0.1838342450765864
420.113,0.17743052516411378
420.325,0.17607932166301968
420.537,0.16133807439824943
420.749,0.16122866520787746
420.961,0.15871280087527354
421.174,0.1514332603938731
421.386,0.15782439824945294
421.598,0.16278610503282276
421.81,0.17395897155361048
422.022,0.16875875273522975
422.234,0.16579595185995621
422.446,0.15553555798687088
422.658,0.15722155361050327
422.87,0.1577379649890591
423.082,0.16388183807439824
423.294,0.15022264770240698
423.506,0.1581241794310722
423.718,0.14960448577680527
423.93,0.15268818380743984
424.142,0.14975492341356672
424.354,0.14951312910284464
424.566,0.13597045951859957
424.778,0.13441739606126912
424.99,0.134527352297593
425.202,0.1465694748358862
425.414,0.1480984682713348
425.625,0.14827954048140043
425.837,0.1463129102844639
426.049,0.16082822757111595
426.261,0.15607603938730852
426.473,0.15131345733041573
426.684,0.14137199124726477
426.896,0.14245295404814004
427.108,0.13375547045951858
427.32,0.12742013129102844
427.531,0.12571334792122538
427.743,0.12829595185995624
427.955,0.13889660831509845
428.167,0.13484518599562362
428.378,0.11852571115973741
428.59,0.12816192560175055
428.802,0.13379704595185996
429.013,0.12446280087527352
429.225,0.12307932166301969
429.436,0.12251203501094092
429.648,0.12477954048140041
429.86,0.1378074398249453
430.071,0.13107986870897156
430.283,0.12274781181619256
430.494,0.13293818380743982
430.706,0.1330847921225383
430.917,0.11945568927789935
431.129,0.121003829321663
431.34,0.11817669584245077
431.552,0.12531400437636758
431.763,0.12698140043763678
431.975,0.11858916849015316
432.186,0.11907713347921225
432.398,0.12381783369803064
432.609,0.12591028446389496
432.821,0.1342346827133479
433.032,0.12387144420131291
433.243,0.13338074398249453
433.455,0.135472647702407
433.666,0.1384163019693654
433.877,0.13849398249452954
434.089,0.1357106126914661
434.3,0.12310995623632386
434.511,0.12363293216630196
434.723,0.11110886214442012
434.934,0.11263019693654266
435.145,0.1172582056892779
435.356,0.11936378555798687
435.568,0.12383698030634574
435.779,0.13687855579868707
435.99,0.13870842450765863
436.201,0.1401772428884026
436.412,0.12935448577680525
436.624,0.12661323851203501
436.835,0.11927407002188183
437.046,0.11281673960612691
437.257,0.10546389496717724
437.468,0.10625765864332604
437.679,0.10251148796498905
437.89,0.10560831509846827
438.101,0.10343982494529538
438.312,0.10686433260393872
438.523,0.10233588621444202
438.734,0.10405579868708971
438.945,0.10173194748358862
439.156,0.11139223194748357
439.367,0.11282658643326038
439.578,0.11143818380743982
439.789,0.1142062363238512
440.0,0.12605743982494527
440.211,0.11889879649890589
440.422,0.1098769146608315
440.633,0.10468818380743981
440.844,0.10336214442013128
441.055,0.10436925601750548
441.266,0.10583533916849015
441.477,0.10054266958424508
441.687,0.10205962800875272
441.898,0.1074753829321663
442.109,0.10033369803063456
442.32,0.10043052516411378
442.531,0.10500328227571117
442.741,0.0994781181619256
