,0
440,98.94653759363706
441,98.40519934098687
442,98.03070664875477
443,97.6613343179853
444,97.40909202967778
445,97.14393113198376
446,96.70051835373661
447,96.48853572506663
448,96.45674908108624
449,96.27421483554663
450,96.23438777930845
451,96.26847888700763
452,96.31808338379612
453,96.17361338524793
454,96.23223113095946
455,96.41223783351798
456,96.32283060175641
457,96.56023625905165
458,96.65050514090566
459,96.78067504950351
460,97.09643855941111
461,97.24187910675336
462,97.57535219882728
463,97.6876490640067
464,97.95362145328204
465,98.31305326100049
466,98.69702879845266
467,99.02233978836975
468,99.35731233969932
469,99.72930397556205
470,100.23540389489477
471,100.48172307178778
472,100.90241352358167
473,101.50840294500064
474,102.04673242810257
475,102.6785703365667
476,103.15259140609133
477,103.70561737376539
478,104.41019423411724
479,104.98572945445056
480,105.56041767927316
481,106.25729179851548
482,106.95342228882778
483,107.72821852916951
484,108.43090202607893
485,109.07567996570452
486,109.90702679434638
487,110.65234412699553
488,111.50001872397006
489,112.49476164453561
490,113.41941087463859
491,114.1888313652634
492,115.07078243245549
493,116.03333400884027
494,117.00806191311197
495,118.01652693165552
496,118.99880210902133
497,120.03505486235358
498,121.08464382004482
499,122.06095686644281
500,123.1688861801237
501,124.26182678512555
502,125.34917862808165
503,126.46774557714076
504,127.60446645201681
505,128.78077046247756
506,130.0104069283454
507,131.22646881828595
508,132.41415099997388
509,133.59656527250422
510,134.8833107222082
511,136.20025197679362
512,137.4773724157474
513,138.77006618011015
514,140.1512275532495
515,141.4248175859418
516,142.73723324295298
517,144.11266291729797
518,145.45329240665637
519,146.83504468232442
520,148.224739608903
521,149.66888295649986
522,151.01472417460622
523,152.38887089487156
524,153.79078120335276
525,155.21216545379423
526,156.64981875617556
527,158.06678522831953
528,159.4811063340293
529,160.8408498676077
530,162.196206953771
531,163.64736592273164
532,165.0644565504319
533,166.41960807337014
534,167.81444325248273
535,169.21440051778916
536,170.65961063275756
537,171.98526741713687
538,173.32328411039865
539,174.68148271487988
540,175.94730119794124
541,177.33529041092055
542,178.57448058060615
543,179.8920209993968
544,181.207300059347
545,182.36143127808245
546,183.50370705491747
547,184.7336014914149
548,185.91176492802984
549,186.98215740673075
550,187.987700336577
551,189.08592063827555
552,190.14177865867842
553,191.09648172054543
554,192.0292318463528
555,192.90936775663346
556,193.83221265292042
557,194.7072590996182
558,195.49675551231184
559,196.1992230764314
560,196.8145914089144
561,197.58797765130134
562,198.2080568759669
563,198.71604425838945
564,199.2817952431878
565,199.794899100156
566,200.16473167586034
567,200.5149969031323
568,200.81228461530938
569,201.09025754883749
570,201.33700295382724
571,201.4276498353219
572,201.4860765631465
573,201.62306168496232
574,201.66399031707581
575,201.59208496474167
576,201.44968809871486
577,201.39341399766712
578,201.26237502075463
579,201.0766222794888
580,200.87390137581366
581,200.45344076086553
582,200.14758838116532
583,199.79939009608185
584,199.447422041703
585,198.95817395213496
586,198.56868981314557
587,198.0074077230802
588,197.5398956970976
589,197.1480510763302
590,196.53758314191722
591,196.05001359813804
592,195.61938901296705
593,195.0404859138997
594,194.4723031283146
595,193.81635511771677
596,193.1739343605949
597,192.57015432904674
598,192.00454239290576
599,191.4654283449752
600,190.78027422999628
601,190.24253491197138
602,189.7221673524152
603,189.15423091447062
604,188.59684749903195
605,188.06664029489195
606,187.5849914932015
607,187.08393633266462
608,186.52989636065934
609,186.1371425438488
610,185.7911473885424
611,185.5589779285864
612,185.413072205909
613,185.0573135661639
614,184.76660495486132
615,184.55372029118607
616,184.47911490331467
617,184.29817479036862
618,184.12752690633042
619,183.99163396472096
620,184.0304063677785
621,183.9656744048829
622,184.07496068945804
623,184.0798722615409
624,184.18942457097154
625,184.33787004165777
626,184.32325395711695
627,184.55249297034467
628,184.76746679709905
629,185.02045445020678
630,185.2087990604648
631,185.436882582121
632,185.76496415004775
633,186.06689825187726
634,186.37549229496526
635,186.83664966395693
636,187.26223729495618
637,187.41631694456183
638,187.77009455949033
639,188.27194217864042
640,188.65614376129713
641,188.91723107408097
642,189.2394038786367
643,189.76934214110136
644,190.19748225752383
645,190.5995613392805
646,191.06118395636852
647,191.44266716830126
648,191.78884625122058
649,192.19338221792424
650,192.70279673668594
651,193.11048173851506
652,193.46267824861619
653,193.77674216628333
654,194.09266090596654
655,194.60187035366025
656,194.7884381298542
657,195.0737371899952
658,195.43382018932832
659,195.78796099810376
660,196.01582886483095
661,196.28995823366478
662,196.4737090437855
663,196.72293464355883
664,196.95697766690517
665,197.1422298649516
666,197.29673888471126
667,197.5237673832451
668,197.64965293154094
669,197.76537013330574
670,197.77923596989496
671,198.0142422138677
672,198.07579354509673
673,198.05143641043577
674,197.96071146681123
675,197.93907783077606
676,198.0044327408958
677,197.94776232960137
678,198.0345304056997
679,197.98588970180467
680,197.8685178327705
681,197.79414413781637
682,197.81179151339975
683,197.59075655871752
684,197.44562091147094
685,197.35775810477944
686,197.26419391226514
687,197.09859255129646
688,196.7909305168108
689,196.56255924609843
690,196.24246784792976
691,196.0854318573274
692,195.75568840914718
693,195.48267545039275
694,195.08802745482572
695,194.83304361844574
696,194.62563842578882
697,194.29304176255303
698,194.0262065201783
699,193.7163445469455
700,193.34742289719216
701,193.10594074027745
702,192.81000456567594
703,192.5220089353837
704,192.0475509810086
705,191.84398250576197
706,191.51051412447035
707,191.17563275530384
708,190.87371696584307
709,190.59539688267873
710,190.37385671303076
711,189.97577102711548
712,189.70507672315287
713,189.37157150467348
714,189.04113225544017
715,188.86748097284615
716,188.69735984599626
717,188.4658085496113
718,188.19211710109607
719,188.06698311922344
720,188.0027642862577
721,187.89230200410358
722,187.7840075750326
723,187.62596750453358
724,187.47458183716122
725,187.2438205637598
726,186.98767575422715
727,186.7287331498158
728,186.46710673150181
729,186.25994567382764
730,186.05507185068805
731,185.8662520192128
732,185.66978347512747
733,185.50024648448525
734,185.3918430674397
735,185.24688499901342
736,185.04712447506606
737,185.04423768407375
738,184.89704386327395
739,184.8441220076847
740,184.76809014777388
741,184.72783486060936
742,184.82859044213362
743,184.6736466399587
744,184.72795099259235
745,184.70174697945922
746,184.7641403654971
747,184.63789976399997
748,184.7249751412814
749,184.89947695746625
750,184.84946953926195
751,184.9240548583708
752,184.9632524041191
753,185.1164145699283
754,185.2558367597767
755,185.30894949101395
756,185.4381007605362
757,185.49089177683024
758,185.7777530010677
759,185.8397570942612
760,186.04301191491922
761,186.18901120823136
762,186.2740501047615
763,186.5704221164334
764,186.60819259482133
765,186.7625637099389
766,186.97965215702868
767,187.18929129475407
768,187.24801561639973
769,187.56815796581623
770,187.67536659452477
771,187.93095022256307
772,188.17048330398774
773,188.25635541161975
774,188.46135442530655
775,188.69821339379436
776,188.74308849197402
777,189.13168489921944
778,189.330836708041
779,189.3749317851123
780,189.5721252855219
781,189.79836274065792
782,189.88848128725178
783,190.02431494512314
784,190.19308487903126
785,190.36308151005406
786,190.64289609519312
787,190.67548508496213
788,190.87626355441404
789,190.94908040134905
790,191.05081427664462
791,191.10299403367839
792,191.46599085847834
793,191.56963461859772
794,191.49693550163192
795,191.81592698692305
796,191.9243829338515
797,192.01788911828763
798,192.07875869292093
799,192.24843059387294
800,192.3566513461415
801,192.57475978997567
802,192.57156249766876
803,192.60567561610065
804,192.73779500745468
805,192.89364247975126
806,192.86424814241641
807,193.0236869272268
808,193.0048743577675
809,193.08755419349103
810,193.23034963628143
811,193.18014136363456
812,193.20508139947873
813,193.2400663010089
814,193.31065633277186
815,193.31099292051644
816,193.20358910281735
817,193.21440334097022
818,193.0940906602235
819,192.9685845705757
820,193.06745056347086
821,192.9480980508119
822,193.10536572044347
823,193.09200940660276
824,192.98428578582696
825,192.7113410167379
826,192.60926245659118
827,192.42594620819054
828,192.49076079487833
829,192.4214199982214
830,192.1438174444779
831,191.93416264279156
832,191.73389237832544
833,191.59159639018424
834,191.56974780365064
835,191.37979892036876
836,191.2018402537964
837,190.9269630140373
838,190.85537716465296
839,190.5579846454862
840,190.37010679366975
841,190.21815114187044
842,189.99393711221785
843,189.65908558424584
844,189.4785513684953
845,189.09154828198203
846,188.91247870975454
847,188.6068122247774
848,188.07830934807114
849,188.0879800248996
850,187.75136958696973
851,187.30857709518375
852,187.1680949710536
853,186.8164488060288
854,186.377684243531
855,186.04822918480517
856,185.86194849334598
857,185.68658005041127
858,185.17508470384877
859,184.87468923485508
860,184.6030295052959
861,184.24410790621783
862,183.98214386933213
863,183.58172505694762
864,183.12853072380827
865,182.76034257382105
866,182.27304762191963
867,182.16244059097116
868,181.5825163288207
869,181.02852221022422
870,180.86151807979286
871,180.36955564201625
872,179.78354618480728
873,179.56041673393298
874,179.27630331980362
875,178.83070536501464
876,178.21435653334487
877,177.62773687874468
878,177.29663260591997
879,176.74065138627034
880,176.26107402584225
881,176.05451093485974
882,175.32984113426633
883,175.09692795829963
884,174.5477158017489
885,174.43077219535422
886,174.06354093983867
887,173.22055204567513
888,172.76729692045623
889,172.5056618840279
890,172.11613625938926
891,171.55757043979003
892,171.28506658721017
893,170.8144985544942
894,170.42570953804812
895,169.80357983023953
896,169.2753653627659
897,169.1531790968951
898,168.69584833863738
899,168.08072027631894
900,167.91476635410325
901,167.28107542242904
902,166.71416882835138
903,166.41925922055506
904,166.12750809340451
905,165.39958591731346
906,165.08037076587848
907,164.4739061370887
908,164.16875653962447
909,163.81835898960415
910,163.18561310272216
911,162.80962520483644
912,162.25567706466833
913,161.90960987236593
914,161.6006247005641
915,161.20497779142275
916,160.33115228208115
917,159.86904296012813
918,159.34551029449014
919,158.65451753168972
920,158.2739653388244
921,157.66329660901758
922,157.15306045353498
923,157.0471819633791
924,156.48039031960587
925,155.96643115510665
926,155.78258756460244
927,155.32872431317668
928,155.01099700497446
929,154.97540312909888
930,154.6581674951998
931,154.0708259021834
932,154.0075495360168
933,152.93813206014835
934,151.97932293382632
935,151.98706580702324
936,151.05983307742287
937,150.8348944885196
938,150.2332975576105
939,149.93236887057725
940,151.28481631937368
941,149.83163521797647
942,152.26817750904786
943,151.56152475088416
944,150.3184013831816
945,148.6639129279997
946,149.00696649708522
947,148.78624372524013
948,146.23916069091928
949,146.44786771005377
950,146.0617063823542
