,Intensity
440,21.500190622155866
441,21.03499080072998
442,20.62198183887568
443,20.11635859227751
444,19.67931113821973
445,19.23009889693066
446,18.82595416113212
447,18.357630298902215
448,17.982551511237144
449,17.538879613222523
450,17.098483182805257
451,16.70477687486563
452,16.320974470329716
453,15.868016254070598
454,15.462927311699856
455,15.097534889157872
456,14.735296800964717
457,14.34245318278583
458,13.955598025007195
459,13.541337480427515
460,13.216459692402294
461,12.860611365785832
462,12.489580022249108
463,12.145904487900228
464,11.802014475771518
465,11.483903307762727
466,11.163189905036727
467,10.828663193693023
468,10.494788858746421
469,10.184961820932191
470,9.893660273563038
471,9.589520839806184
472,9.294632260770243
473,9.021587831535937
474,8.741240537820106
475,8.476732664883867
476,8.223984879421288
477,7.959363467025554
478,7.708051851749687
479,7.4641506374671245
480,7.225443629742674
481,6.988667650788717
482,6.765951769407093
483,6.546538673671069
484,6.328271145450493
485,6.122312355983274
486,5.911029951957412
487,5.706579990191145
488,5.517878478900759
489,5.333158514869394
490,5.151641407398891
491,4.977558349859324
492,4.804827523701084
493,4.636850155639701
494,4.467976252203603
495,4.310499831445683
496,4.160957316096519
497,4.014816361187845
498,3.870890646688288
499,3.7276445714344164
500,3.5949785311156304
501,3.4632738166033414
502,3.329578257474593
503,3.2109530421077355
504,3.086607653575486
505,2.972442626918375
506,2.8676441792598326
507,2.7609812333340966
508,2.6552351242857015
509,2.5521867064376815
510,2.457839332323043
511,2.3666241347104533
512,2.2705006802196355
513,2.1852693677343367
514,2.102443621932265
515,2.0171333885423275
516,1.9393156653690888
517,1.8661197231828446
518,1.7907849124660378
519,1.7229026651282389
520,1.6531888428030077
521,1.589151933003688
522,1.5245450848620954
523,1.4645906856259
524,1.404543598368428
525,1.3432737628112628
526,1.2890853087029066
527,1.2373094366052797
528,1.1895946410415867
529,1.1396170767755684
530,1.0928534574939497
531,1.0502878036447927
532,1.0048463943385437
533,0.9657787439835214
534,0.9235265013948197
535,0.8819873892056851
536,0.8463304163658251
537,0.814303035461073
538,0.7805958256479286
539,0.7464846726183934
540,0.7144929528661796
541,0.6849215532354206
542,0.6570559234532382
543,0.6300206323852303
544,0.6000271087704637
545,0.5751838999515482
546,0.5498199345632645
547,0.5292358085173796
548,0.5043322651021799
549,0.48331252008921194
550,0.4633170803398754
551,0.4412214504012488
552,0.42089754592530887
553,0.39916612601983176
554,0.3840883824027668
555,0.36600007291858877
556,0.35053687215596213
557,0.33783717694499066
558,0.32572384923018655
